City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Yinchuan,CN,38.47,106.27,93.9,11,8,8.05,Clear
237,Ancud,CL,-41.87,-73.82,51.01,87,75,12.75,Clouds
238,Naze,JP,28.37,129.48,89.6,70,20,10.29,Clouds
239,Tuatapere,NZ,-46.13,167.68,51.78,75,94,1.23,Clouds
240,Hofn,IS,64.25,-15.21,50.94,92,100,0.65,Clouds
241,Tire,TR,38.09,27.74,82.4,32,0,18.34,Clear
242,Codrington,AU,-38.27,141.97,49.64,71,85,14.99,Clouds
243,Lompoc,US,34.64,-120.46,57.2,87,90,8.1,Clouds
244,Les Cayes,HT,18.2,-73.75,80.19,82,98,4.56,Rain
245,Victoria Point,AU,-27.58,153.3,71.01,58,19,1.01,Clouds
246,Lasa,IT,46.62,10.7,59.0,93,75,6.93,Clouds
247,Koumac,NC,-20.57,164.28,69.64,74,22,14.32,Clouds
248,Amahai,ID,-3.33,128.92,81.0,94,94,1.01,Rain
249,Belmonte,BR,-15.86,-38.88,64.4,82,75,8.05,Rain
250,Farafangana,MG,-22.82,47.83,66.83,77,72,7.38,Clouds
251,Cabedelo,BR,-6.98,-34.83,69.8,100,75,6.93,Clouds
252,Harqalah,TN,36.03,10.51,77.0,60,0,2.24,Clear
253,Plettenberg Bay,ZA,-34.05,23.37,62.96,37,0,4.92,Clear
254,Barranca,PE,-10.75,-77.77,58.86,87,78,7.14,Clouds
255,Ulladulla,AU,-35.35,150.47,68.0,30,100,17.22,Clouds
256,Vila,PT,42.03,-8.16,55.99,88,89,2.44,Clouds
257,Guerrero Negro,MX,27.98,-114.06,72.16,73,48,14.92,Clouds
258,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,14.99,Clouds
259,Port Augusta,AU,-32.5,137.77,71.01,72,44,11.41,Clouds
260,Hobyo,SO,5.35,48.53,81.86,63,96,24.87,Clouds
261,Yumen,CN,40.28,97.2,86.4,13,66,20.83,Clouds
262,Batemans Bay,AU,-35.72,150.18,60.01,56,100,5.01,Clouds
263,Lichtenburg,ZA,-26.15,26.16,45.52,55,0,7.07,Clear
264,Pueblo Nuevo,MX,23.38,-105.38,59.97,76,91,6.17,Rain
265,Baruun-Urt,MN,46.68,113.28,67.69,66,87,13.94,Clouds
266,Korla,CN,41.76,86.15,90.25,16,58,7.18,Clouds
267,Hun,LY,29.13,15.95,75.58,32,0,2.51,Clear
268,Trinidad,BO,-14.83,-64.9,72.61,51,0,3.11,Clear
