City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Ahuimanu,US,84.2,Clouds,21.44,-157.84,Paradise Bay Resort
523,Tura,IN,85.91,Clear,25.52,90.22,Hotel RIKMAN Continental
524,Kamaishi,JP,77.0,Clouds,39.27,141.88,Hotel Route Inn Kamaishi
525,Wajima,JP,78.8,Clouds,37.4,136.9,Wajiima Onsen Yashio
539,Nagua,DO,78.55,Clouds,19.38,-69.85,Hotel Cambri
542,Banda Aceh,ID,82.72,Clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
551,Sabinas,MX,90.0,Clouds,27.85,-101.12,Gran Hotel Sabinas
553,Makakilo City,US,84.2,Clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
554,Labuhan,ID,80.1,Clouds,-6.88,112.21,bador sepret
556,Hirara,JP,80.6,Rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
557,Elizabeth City,US,84.2,Clear,36.29,-76.25,Hampton Inn Elizabeth City
565,Mormugao,IN,80.17,Rain,15.4,73.8,Hotel La-Paz Gardens
567,Cosamaloapan,MX,77.94,Clear,18.37,-95.8,Hotel Catedral
573,Candelaria,PH,88.34,Clouds,13.93,121.42,Casa de Provincia
583,Bryan,US,80.6,Clear,30.67,-96.37,Best Western Premier Bryan College Station
586,Mayo,US,86.0,Clouds,38.89,-76.51,Resorts Resource Group International
588,Arouca,TT,78.01,Clouds,10.63,-61.33,Palms Hotel Trinidad
591,Alice Springs,AU,75.2,Clear,-23.7,133.88,Desert Palms Alice Springs
598,Abu Road,IN,82.27,Clouds,24.48,72.78,HOTEL ARADHANA
602,Oussouye,SN,79.18,Clouds,12.48,-16.55,Auberge du Routard
603,Jizan,SA,84.2,Clouds,17.33,42.67,شهدان. ابوالحجر
604,Fort Nelson,CA,78.8,Clouds,58.81,-122.7,The Fort Nelson Hotel
607,Naranjal,EC,77.0,Clear,-2.67,-79.62,Media Naranja
611,Ixtapa,MX,87.8,Clouds,20.7,-105.2,Container Inn Puerto Vallarta
612,Maues,BR,76.1,Clear,-3.38,-57.72,Hotel Miramar
613,Praya,CV,80.6,Clouds,14.92,-23.51,LT Aparthotel
614,Zhangjiakou,CN,79.52,Clear,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
618,Chirongui,YT,75.2,Clouds,-12.93,45.15,La Villa Mahatsara
619,Tomatlan,MX,81.39,Clouds,19.93,-105.25,Norma franco
625,Sola,VU,75.69,Clouds,-13.88,167.55,Leumerus Bungalows
628,Wanning,CN,85.37,Rain,18.8,110.4,Paradise Hotel
636,Amga,RU,77.04,Clouds,60.9,131.96,Algys
640,Myitkyina,MM,87.44,Clouds,25.38,97.4,Shwe Phyu Hotel
643,Kununurra,AU,82.4,Clouds,-15.77,128.73,Hotel Kununurra
646,San Miguel,SV,77.67,Rain,13.48,-88.18,Excalibur
649,Oistins,BB,82.4,Clouds,13.07,-59.53,Butterfly Beach Hotel
650,Kulob,TJ,77.0,Clear,37.91,69.78,Hotel Shelkovyi put
653,Sa Kaeo,TH,78.82,Rain,13.81,102.07,Thanasiri Hotel & Resort
654,Anori,BR,76.82,Clear,-3.77,-61.64,Novo Hotel 05 Irmaos
657,Buraydah,SA,87.8,Clear,26.33,43.98,Mövenpick Hotel Qassim
661,Fort-Shevchenko,KZ,78.91,Clouds,44.51,50.26,Oasis hotel Bautino
664,Copala,MX,81.63,Rain,16.65,-98.98,Biol. Fernando Martinez Salgado
666,Jiuquan,CN,78.24,Clear,39.74,98.52,Jiuquan Hotel
670,Abdanan,IR,77.83,Clear,32.99,47.42,سیروس عنبری
676,Okmulgee,US,75.2,Clouds,35.62,-95.96,Holiday Inn Express & Suites Okmulgee
677,Sur,OM,82.83,Clouds,22.57,59.53,Sur Plaza Hotel
681,Mogadishu,SO,76.69,Rain,2.04,45.34,Hotel Juba
695,Saint-Georges,GD,82.4,Clouds,12.06,-61.75,Siesta Hotel
